,slide,nb_support,DICE(%),IOU(%),gt,score,nb_query
0,20114.svs,2689850,62.27,45.21,0,[0.99278508 0.95841588 0.94628567 0.88112366 0.6192218 ],2721341
1,20114.svs,2689850,90.47,82.61,0,[0.99803642 0.99295445 0.97617283 0.93119754 0.88008447],2721292
2,20114.svs,2689850,91.05,83.58,0,[0.99785675 0.99102213 0.96557011 0.89030804 0.71674264],2721263
3,20114.svs,2689850,67.58,51.03,0,[0.99932627 0.98941868 0.93814954 0.79858669 0.57708671],2721242
4,20114.svs,2689850,58.57,41.42,0,[0.99824997 0.98848943 0.94326562 0.80623301 0.65415916],2721223
5,20114.svs,2689850,77.71,63.55,0,[0.99825868 0.98791261 0.96204804 0.8799826  0.66587341],2721202
6,20114.svs,2689850,72.6,56.99,0,[0.95520101 0.96377391 0.96164727 0.8908926  0.76891538],2721173
7,20114.svs,2689850,80.65,67.58,0,[0.99753902 0.9946696  0.9845078  0.9358448  0.8672672 ],2721154
8,20114.svs,2689850,71.93,56.16,0,[0.99875741 0.99482325 0.98226188 0.95239743 0.9009799 ],2721127
9,20114.svs,2689850,83.79,72.1,0,[0.99911831 0.98844543 0.93852282 0.88989287 0.75801461],2721074
10,20114.svs,2689850,87.01,77.01,0,[0.99762396 0.98822652 0.97857188 0.9354687  0.82511768],2721055
11,20114.svs,2689850,90.23,82.2,1,[0.99790339 0.99133754 0.97386921 0.91799952 0.85909355],2689939
12,20114.svs,2689850,78.96,65.24,1,[0.99915521 0.99335548 0.97323786 0.91980026 0.9210869 ],2689910
13,20114.svs,2689850,65.98,49.23,1,[0.99779165 0.99407199 0.98674248 0.95410497 0.91631046],2689869
14,20114.svs,2689850,89.13,80.39,1,[0.99989515 0.99830087 0.99680985 0.98398484 0.95891029],2689850
15,20114.svs,2689850,60.53,43.4,1,[0.99416386 0.98897552 0.98154778 0.91981127 0.83326148],2689827
16,20114.svs,2689850,81.48,68.74,1,[0.9991743  0.98924967 0.9674096  0.90028729 0.83111893],2685119
17,20114.svs,2689850,80.77,67.74,1,[0.99812455 0.99442836 0.98004361 0.92985262 0.88236874],2685074
18,20114.svs,2689850,85.17,74.17,1,[0.99836314 0.99297487 0.96766495 0.8744964  0.78637103],2685053
19,20114.svs,2689850,83.09,71.08,1,[0.99862051 0.99442747 0.96585246 0.85733847 0.78196235],2685032
20,20114.svs,2689850,74.25,59.05,1,[0.9980314  0.99118227 0.96615863 0.89210929 0.8196628 ],2685007
21,20114.svs,2689850,82.71,70.51,1,[0.99882526 0.99288831 0.96538939 0.84408052 0.79520046],2684980
22,20114.svs,2689850,82.07,69.6,1,[0.99968346 0.99395808 0.97102584 0.90657546 0.89677754],2684951
23,20114.svs,2689850,89.22,80.55,1,[0.99955332 0.99578031 0.97609001 0.93031298 0.87548562],2684930
24,20114.svs,2689850,75.23,60.3,1,[0.99689943 0.99126698 0.96977265 0.89912547 0.74332878],2684911
25,20114.svs,2689850,82.4,70.07,1,[0.99847079 0.9932732  0.96830228 0.87206364 0.7740375 ],2684888
26,20114.svs,2689850,82.48,70.18,1,[0.99841223 0.99141312 0.96291244 0.89423845 0.85536699],2684853
27,20114.svs,2689850,87.92,78.44,1,[0.99804465 0.9940843  0.97274361 0.90013161 0.87097438],2684832
28,20114.svs,2689850,85.71,74.99,1,[0.99838121 0.99059031 0.96179984 0.87643288 0.80357101],2684781
29,20114.svs,2689850,86.27,75.86,1,[0.99801455 0.98619451 0.95874715 0.89021489 0.83204108],2684761
30,20114.svs,2684853,58.64,41.48,0,[0.9927254  0.95893587 0.91891632 0.78131891 0.41709481],2721341
31,20114.svs,2684853,86.67,76.48,0,[0.99767188 0.98803876 0.97571496 0.89315533 0.86261251],2721292
32,20114.svs,2684853,86.22,75.77,0,[0.996518   0.98273938 0.95989981 0.86413141 0.66873968],2721263
33,20114.svs,2684853,62.34,45.29,0,[0.99454488 0.97993218 0.9208255  0.72815249 0.37317986],2721242
34,20114.svs,2684853,53.32,36.35,0,[0.99260974 0.98422407 0.93406103 0.75919813 0.46766416],2721223
35,20114.svs,2684853,72.4,56.74,0,[0.99631099 0.97829983 0.9439024  0.79978658 0.45544139],2721202
36,20114.svs,2684853,72.26,56.57,0,[0.94310768 0.94278526 0.9362155  0.78523038 0.588367  ],2721173
37,20114.svs,2684853,80.35,67.15,0,[0.99624851 0.99338029 0.96763015 0.80188368 0.72748966],2721154
38,20114.svs,2684853,73.99,58.72,0,[0.99849768 0.99344994 0.98582666 0.93675702 0.89918803],2721127
39,20114.svs,2684853,80.67,67.6,0,[0.99773998 0.98486377 0.94207957 0.85671568 0.65892887],2721074
40,20114.svs,2684853,83.68,71.93,0,[0.99792448 0.98770476 0.96471822 0.86324136 0.68152167],2721055
41,20114.svs,2684853,90.51,82.66,1,[0.99765514 0.99198838 0.98147739 0.94258226 0.91347941],2689939
42,20114.svs,2684853,82.12,69.66,1,[0.99760945 0.99058244 0.97767657 0.91084595 0.88707472],2689910
